product_id,product_name,category
P001,Coconut Water,Beverages
P002,Olive Oil Extra Virgin,Pantry
P003,Organic Almond Milk,Beverages
P004,Dark Chocolate 70%,Snacks
P005,Whole Grain Pasta,Pantry
P006,Greek Yogurt Plain,Dairy
P007,Sparkling Mineral Water,Beverages
P008,Granola Honey Crunch,Snacks
P009,Canned Tuna,Pantry
P010,Plant Protein Powder,Health
P011,Baby Formula Stage 1,Baby
P012,Diapers Size 3,Baby
P013,Laundry Detergent Pods,Household
P014,Hand Sanitizer 500ml,Personal Care
P015,Sunscreen SPF50,Personal Care
P016,Frozen Berries Mix,Frozen
P017,Avocado Oil,Pantry
P018,Rice Basmati 5kg,Pantry
P019,Energy Drink Citrus,Beverages
P020,Pet Food Premium,Pet
P021,Vitamin C Tablets,Health
P022,Coffee Beans Arabica,Beverages
P023,Tea Green Organic,Beverages
P024,Tomato Sauce,Pantry
P025,Chicken Broth,Pantry
P026,Butter Unsalted,Dairy
P027,Cheese Cheddar Block,Dairy
P028,Frozen Pizza Margherita,Frozen
P029,Sparkling Water Lime,Beverages
P030,Protein Bars Chocolate,Health
